Text,IsHateSpeech
people would take step back make case wasnt anyone except two people situation lump mess take matter hand make kind protest selfish without rational thought investigation guy video heavily emotional hyped want heard get heard press never reasonable discussion kudos smerconish keeping level whole time letting masri make fool dare tore city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretending like knew exactly going there measurable amount people honestly witnessed incident none u clue way whole issue swung grand jury informed trust majority rule right course action let also thank 99999 police officer america actually serve protect even youre bit jerk pull respect job know someone many people going pout held accountable action people hate police need officer two around emergency,0
law enforcement trained shoot apprehend trained shoot kill thank wilson killing punk bitch,1
dont reckon black life matter banner held white cunt kinda patronizing ironically racist could come somethin better white folk give self pride ooo look im nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,1
large number people like police officer called criminal reason police officer fact criminal like police officer testament good work police officer protecting public child family danger hessitate call help call police time people stopped complaining started give police respect hard work dedication often requires put life line serve public,0
arab dude absolutely right shot 6 extra time shoot he attacking would stop attack shoot twice he still attacking six time shoot kill opinion,0
people facebook httpswwwfacebookcombassemmasri520 tie isi terrorist group muslim extremist,1
check tube post black man go epic rant ferguson rioter although message delivered childish cartoonish emotion one african american get,1
would love see pussy go staten island spit cop would love see happen mike brown strong arm thug people burning ferguson eric garnier nothing wrong choked death protest mafia controlled staten island burning car nothing,1
agree protestor,0
mike brown father made say boooshit,1
guy right point dont judge speaking ability judge messege racist fuck suck dick like always medium focusing thing dont matter cnn shit,1
moral story dont reach cop gun youre probably gunna get shot white black,0
masri close get isi america,1
know chimpers compassion mud pumping heart,1
believe whatever wan na believe dont care say bassem masri idiot,1
bassem masri terrorist part isi,1
wouldnt waist time trying reason police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live,1
wish mr masri dead,1
thus collapse usa two possibility considered whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything directed towards interest economic military political cultural – well towards strict fundamentalist religioussectarian – based enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spied upon secret service even severely within neighbourhood forth every possible manner restricted freedom addition violence emerges form openly covertly﻿,0
actually shout fire crowded theater christopher hitchens demonstrated talk free speech look interviewee correct cop serve public way around consistent serving public police department represent public race ethnicity rank hire bunch big tough black guy police department fewer black shot death puny white guy felt humiliated got bitch slapped teenager,1
think kill,1
legalize marijuana problem stop,0
1 word provocateur,0
lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready bc boil fall talk fall walking,1
legal system inherently racist cnn reporter,1
look ready cut head must isi sympathizer im going say maybe 5 care issue hand 95 want go loot store fuck shit,1
lol shoot apprehend idiot,1
case overshadowed cop murdered kid fake sword saratoga spring utah much outraged mike brown case murder happened utah deal cop provided non lethal weapon shooting utah unwarranted ran dont know ran lunged police fake sword taken opportunity immediate action right ran shot 6 time back know large group cop corrupt murderer nothing new though ran police many time teen cop pursue find hiding put 6 bullet back ending life said paper saratoga spring 5 black population would say 5,0
man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser neocon racist wolf blitzer emplpyeee,1
blood street worried word getting tired way mainstream medium treating u like idiot follow condescending irrelevant distracting disparaging narrative step cnn,0
stop criminal wont get shot simple,1
like turtle,0
massri need education,1
cnn mother fuckersfuck peace shit,1
statement think ali sheep butt fucker masri take ak go fight syria,1
hahahahaha guy ed bassmasters character always teste ed bassmaster semiretarded character crosseyed like guy,1
childish cop sleep night,0
completely idiot minutrs fame,1
hope god guy still falling ol banana tailpipe bullshit news theyre giving,1
cnn bullcrap,1
alright entire case crap people saying white people racist calling bad name racist would like call u extensive investigation prove boy death self defense however defending whole kkk thing defending helpless citizen ferguson boy died dont care white black care people ferguson treating town really cared incident would hold memorial express feelingsthis helping get justice really matter boy dead something done grand jury decided,0
guy doesnt know happened didnt hand,0
ayy cnn lookin like pussy,1
smirconnish evenhanded guy world guy masri idiot,1
masri total idiot dont know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wan na caused death,1
take break bassem making much sense debate,0
let reverse roll black racist cop rich white communitiesbut cant prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist upperclass problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around c get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let u get western history role big money play clusterfuck designed destroy nation destroyed point get back ask,1
moron talking peaceful burning nation flag idiot even though thats suppose old knowledge baby making noise,1
cia agent provocateur operative kickstart riot new american civil war he african american rehearsed ebonics transparent,0
someone shoot black idiot would make giggle inside,1
people sick man speaking truth yall mad trying justify young boy nothing shot killed smh yall devil disease earth ill glad sun burn ass extinction planet back half animal half devil cave beast,1
world changing im mad police id dam isi gon na come thats time kill faucks,1
cnn propaganda part people let hear ferguson,0
waste time talking idiot know im sayin ill believe want believe yup hell fact evidence loser,1
news fucktardspuppet playersall paid liar,1
bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think cnn competent,0
guy riot work orrrr let guess fuck day nothing,1
mr masri 100 right couldnt say better,0
anyone tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense,0
racial profiling police intimidation robbed store got killed result fucking excuse man black people shouldnt get arrested commit strong arm robbery black people get violent shouldnt fear getting put like animal actually said shouldnt worry warrant lol fucking piece human garbage,1
wrong mother fucker shoot apprehend,1
black white crime seems big topic u ferguson case came brag finnish cop used firearm 6 time last year 2 time towards human 2 time warn 2 time kill wounded animal 5 million ppl 05 gun per caput,0
heading read protester take far,0
muslim man anything mind peace want stir dissonance trouble among american using racist accusation man goal,1
add another imbecile bunch reporter incompetent bastard,1
interviewer right guy show respect paramilitary police killing getting away ha,1
dumb people,1
bassem think walmart hiring holiday get job loser,1
teen face life prison pot brownie 90 year old man get arrested feeding poor police officer set free charge whatsoever killing teenager dont people see wrong,0
know im sayin wow,0
yeah right 1 white shot black hell break lose black shot black protest maybe start protest black shotting black buy thier story,1
let steal convenience store let go punch cop face get shot 6 time let get black people white apologist run around street setting building fire fucking dirty gutter rat living welfare causing violence look rest black people live dirties ebola plague ridden continent lucky white country come cure dumb ass,1
im dude fuck punk police,1
stupid arab police shoot apprehend lmao thats work attacked,1
509 plain n simple truth,0
lmfao dude taking like \ hear talking dont know he saying smh,0
understand anger war answer,0
iz didnt nuffinz,0
ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really chose pathetic man interview,1
motherfucker angryand understand,1
let get straight present fact mass medium beginning 18 yr old legal aspect adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs two police every case similar us force criminal killed killing go court randomly selected jury view evidence hears witness pertain case radom jury reach unanimous verdict guilty im sorry protestors cant democracy,1
protestors work living get time,0
people would obey law like normal human being would never happen winner,0
indictmentmoving right along,0
act like animal get treated like animal,1
michael smerconish hack,0
surethey totally looked factual evidence trial like special treatment hey knew going happen didnt,1
tellin fact steal swisher sweet value lifejust admit racist quit bunch faggott bitch,1
proof black arent victim 1 statistically cop kill white black yet white see necessary save life cost place like ferguson lose mind 2 statistically 93 murdered black killed black white consisting 3 murderer 4 race 3 white enslaved black first 150 year europeansthe race started america later enslaved african began searching north africa establish trade good native 1520s late 1600s white enslaved first later table turned boy girl called karma 4 statistically 50 murder u alone black despite making 141 entire u population despite white make 63 u population make 46 murder 5 white make 38 welfare recipient black making 39 doesnt seem extreme realize 39blacks consists 141 whith 38whites making 63 u meaning individual black person 5 time likely white use welfare,1
white man cant finish sentence america need wake upthe truth murder,1
ill sure avoid getting guy taxi cab,0
fuck medium bassem right find something real investigate youre exaggerating want view money fuck selfish fuck people disgusting dont know bare nasty self,1
cnn youse guy going far ill tell bad going happen bad going benefit dont care much money ellen better like rest careful put put russia careful kid,0
guy need grow,0
shoot apprehend easier said done evidence presented michael brown still attackin darren shot twice people misconception like movie one gun shot anywhere body disable attacker false belief case people still attacking running theyve shot 23 time god sake 50 cent shot 9 time he alive youre attacked 6 ft 3 200 somthing pound person youre back hard say im goin shoot apprehend michael brown copnducted like gentleman wouldnt happened aggresive piece shit muslim shit head isnt better he filled rage doesnt answer anything progression come tolerance violence,1
brown daily killing nonwhites white cop thats reality,0
guy hired idiot,1
guy moron,1
cnnso touchclose idiot people watching comedy reportinglol,1
bassem masri criminal thug psychopath credibility humanity need locked jail cell time rubberroom straightjacket bassem get intellectually dishonest butt community,1
cnn joke,1
wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allowed kill without consequence even rat cornered defend,1
dont want son death vain let burn bitch stupid fuck destroying livelihood peaceful protest fucking as,1
guy hero,0
say sound spitting arab expression,0
wow,0
think indecent unessacerry event one person shot mr brown stole something wasnt intirely police officer fault,0
genuine failure leadership president united state nice town ferguson declared state emergency put martial law federal troop stuffed town nonresident pushed everyone knew going another riot butwhat president didnt want offend black community didnt want anyone else get shot let er burn baby burn seems real leader could way mr president sir failed reprehensibly accuse you﻿,1
anyone know irradiating commercial strawberry seed mine wont germinate,0
arab hate black people isi sympathizer want call community nonsense,1
cant life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reversed would issue,1
well done 👍,0
old man way tried forever well worked look,0
344 u wat im sayin,0
without badge bitch half fuck police,1
arab piece shit acting like get harrassed parent store yet act like get treated like black people lol people steal store moron piece shit,1
people like guy make america shake head nawamsain fuck dont,0
police brutality affect everyone black issue made black issue thats people arent black tend stop listening end racial profiling police dont fuck everyone police dont care color arent policeman fuck look youtube notice brutality doesnt discriminate stop racial bullshit want cop finally held accountable powertripping action need realize playing whole im black black black card make people arent black feel less sympathetic every race issue,1
christian rock,0
good cnn anchor ever seen,0
islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people,1
fuck cnn corrupt demon worshiping fool,1
guy dumbass claim policed hired thug took phone shot round without evidence back claim,1
mike brown father buy ithe got caught video saying burn bitch reffering fergusonand dude interviwing thug given air time,1
brown isused excuse loot take people shit destroy neighborhood haaaa typical ghetto bullshit ya aint even hood ya ghetto bitch collecting free rent govt fighting govt occupy wall street fagets nothing else go clean highway,1
wtf isnt guy got mugged iphone 6 ferguson video hilarious,0
trayvon martin michael brown common real reason behind riot one dare speak zimmerman case common factor race monger like al sharpton cnn msnbc whipping black community see racism racism injustice injustice give year two promise another zimmerman michael brown style case bigger question similar case rather face real root cause many problem suffered black american poverty high crime high black black murder rate far easier turn blind eye point finger shout racism root cause black problem america racism root cause break black american family high number fatherless child growing single parent home government statistic reveal child born fatherless home likely drop school likely history unemployment high chance poverty likely serve time prison list go look fact 70 black child grow fatherless home compared 24 white child see number begin explain black poverty black crime high amongst black america 70 black mother welfare complied dysfunctional gangsterrap culture glorifies promiscuity drug dealer abuse woman power gun see problem beginning emerge reason death trayvon martin michael brown begin come clear black american 13 minority 54 dying probably 54 killing need said black culture violence financed welfare system conclusion like said another race based case sooner latter fact never end long race monger like sharpton cnn msnbc continue promote idea racism rather disintegration black american family another ferguson around corner,0
many shot disable one man officer felt threatened call backup many shot one man continue threaten another transcript witness evidence released seems question unanswered answered pray involved might find peace terrible encounter amen,0
thought waste skin catching desert 3300fps wouldnt make popular guy free people allowed party dont live bookend country rest libshits would justice know majority real american despise every way know every day continue exist ying must yang motherjumper,1
wow ahole make cnn interviewer seem reasonable balanced,1
never argue idiot,1
ratchetlol,0
stfu muslim piece shit cop fired ten round as better still let cut head pour pig blood throat willing bet dirty fckn islamic bastard set fire even black,1
made song addressing ferguson issue today please listen thank tha bigger picture soundcloud listen tha bigger picture kool np soundcloud httpsoundcloudcomdereksavage3thabiggerpicture,0
michael smerconish little bitch like subtly try insult guy guy laugh really show low cnn stoop garbage hole cnn become piece as sucking work michael smerconish guess wonder home dont watch cnn crap news network,1
thanksgiven christmas owner business lootedstole burned good reason none year come people nothing except serve one burned may god mercy would,0
grand jury amd processor much power justice system amd connection police department thats im sayin honestly,0
protecting serving u people like michael brown guy deserved killed cry,1
cop shot white guy would riot since shot black guy everyone seems think black look evidence skin color everyone always throw race card crap like,0
find amusing protester claim theyre fighting racism yet blind racism several report black people attacking white people couple day ago reported white man beaten death hammer black teen st louis yeah clearly racial intent fucking hypocrite,1
excellent theyd mediaslaves u wait speak outso get lost next tragedy there travesty happening thats going since thee origin usa nøbody free thee illusion real thee struggle experiencing collision experiment psychological warfare attrition typing thatalways aware baiting dont allow create helter skelter,0
michael brown rob store assaulted store owner fought police officer darren wilson police window went officer gun shot killed brown shirt saying im armed happens criminal activity regardless color skin linch mob mentality get way public pressure fact support brown activity day wonder brown wanted death suicide cop family could sue,1
fucking fuck cant even defend properly joke,1
wow think im going buy bullet proof vestshit black like everybody tryin shoot,1
black officer shot white guy would fine black people im racist,1
delusional moron anger justified mike indeed unjustly killed hand mike malicious person shooting justified rioting justified one know happened day riot taking place basis assumption,1
omg terrorist isi undercoveragent american arrest,1
keep letting real people get front camera truth told purest form,0
criminal kid get shot police almost everyday plus mike brown bad criminal record started fight,0
city full really really really dumb people cant try reason,1
county go back middle east thats county b,1
people get shot everyday come one thats getting attention,0
history mankind people color creed culture found way rise ash oppression self betterment self preservation except black please enlighten unknown phenomenon,1
fucking douche bag,1
cnn need hire man real american trouble,1
one feral hoodlum put rest u longer need fear thuggish behavior upset blame parent failed raise right provide proper supervision defective start either way sound like case quality control thank officer wilson job,1
u government killing population,1
fakecnn b,1
need get back basic savage riot protest use german shepard shoot animal,1
hell even interviewing guy idiot,1
oh god fucking love arab guy wise word seriously someone open eye world see thing rare world today big fucking amen guy wake fuck america,1
mr smerconish sir journalist journalist say claim interview object heshe searching 15mins fame part interview andor heshe speak direction wanted anything trying defame person illegal definitively serve time go back school truly obvious handle word mouth care critical enough authority would wait ton paper show knowthat indeed ran stopped hand air got shot multiple time doubt side happened witness say however investigative journalist go ask people opinion superior get chair go real reporting shame shame cnn hiring professional,1
arab rapping 314 go ahead brolol getto,1
isnt dude got knocked phone stolen ferguson,0
bassem masri uneducated idiot listen word coming mouth sound like stupid little kid sorry please grow fuck learn law instead repeating freedom speech im citizen go ahead bro ill listen somebody shut guy,1
“ white child deserve future ten million nonwhites flooding white country every year decade mean white minority every country founded black country remain majority black asian country remain majority asian white country affected genocide international law antiwhites ’ call genocide call diversity diversity mean chasing every last white child antiracist codeword antiwhite ”,1
bassem masri well said bro,0
guy idiot thats best lost already bozo,1
go back he period big mouth moron,1
muslim like spit white people brought muslim nggrs still wait big plasma cheap tv looted shop,1
yep muslim bitch,1
masri unemployed,1
wait area majority african american doesnt make since majority people pulled searched arrested area would african american well,0
video liberal propaganda used divide people fuel chaos ferguson stay tuned trial fact deciding evil white people source problem mean straight watch trial fox news cnn msnbc,0
ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword dont hate player hate game innocent little child walking street got shot back blame parent must look individual case adult kind music listen kind video view role model environment affect enablers associate importantly accountable action unfortunately day chose wrong pathway fate rob store call shoplifting heck might well call borrowing without permission first crime probably many unrecorded caught negative action mike brown mb assault another human without consequence say playing big deal childish get real folk riot looting attack threat nothing mb culture feel entitled use excuse propaganda find excuse commit crime name justice peace hand dont shoot please culture need stop pant ground pant ground looking like fool pant ground hat turned sideways gold mouth looking like fool pant ground let say race lack justice justice naturally street usually end tragedy result immature respect thug believed could use size intimidate probably school know street real parent around would called mb childish childish behavior behavior felonious criminal frank would probably cost life elsewhere different time real parent would stated son wrong store clerk fact evidence show son assaulted officer posed threat going officer shot fired may son rest peace action condone consequence due choice action unconditionally love son however also forgive officer apologize store clerk hope family people move learn action live dictate consequence positive negative would also like support alternate method event happen using nonlethal weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable say lastly officer racist shoot mb without rhyme reason fact targeted mb dj black decided gun mb back front even though surrendered peacefully hand raised would side mb support cause unfortunately evidence thus far support paragraph question 1 would still reaction officer female question 2 would still reaction officer blackafrican american question 3 would still reaction mike brown gunned peer race question 4 would still reaction mike brown white question 5 would still end result death mike brown productive home work school running street people nothing world dangerous sincere ignorance conscientious stupidity martin luther king jr think safe say living dangerous time simple fact proving martin luther king jr quote unfortunately coming race supporting lost cause people cry wolf mj please repost﻿,1
people say black play victim according comment fault elected officals racist white good thing going missouri racist white folk point finger take punk bitch power goin back racism deport everyone else,1
protest converted riot majority people wanted dont fooled politician play serious game common man take care everyone save humanity peace,0
worst testtube video ever inequality choice white flight via change demographic etc remaining resident say vote put nominee go city council meeting put grievance councilman etc besides supposedly postracial era america race leader matter oh btw title asked really caused riot seems account answer outoftown lawbreaker,0
punk get blasted reason cop didnt shoot someone else would,1
lot people entire medium missing huge crucial point micheal brown even stopped first place day happened officer said mike brown walking street day later robbed convenience store despite fact owner say store never robbed officer apparently fear life pd claim seriously injured altercation mike brown even though video showing officer perfectly fine standing mike body hour shooting also mike body 35 foot away officer mike apparently charged man police full shit cant see shit made youre either bigot fucking idiot,1
say black piece came bit stiff due repeated use african american,0
live st louis scary,0
ferguson like american city prison resident feel mistreated discriminated subjected illegall search seizure advice move country vast confident find somewhere great nation find place happy successful,0
believe correct word caucasian white let correct every regard great report though love video,0
france military taught could use lethal weapon us similarequal superior lethal weapon u another defend using superior weapon notnever allowed think thats noble french concept b,0
perhaps start teaching black law education important instead treating special snowflake,1
agree report certainly think event went ferguson need investigated statistic support targeting particular race number stop search certainly explained away fact population region particular race given greater opportunity someone stopped likely going race think analysis would need conducted make collation saying race factor saying statistic misleading need considered thoughtfully stating support statement,0
funny doctor push drug legal even tho prescription drug abused whereas minority get locked year marijuana known beneficial economy war drug started government still supply street day racial profiling stupid caucasian commit mass shooting dont see searched go mall movie theater school etc,0
youre implying ferguson black elected appointed official white mean majority people ferguson isnt represented mostly black population wouldnt happen voted support white official median income lower mo u whole population mostly black statistic,0
ridiculous liberal tripe meant divide u along raceclass barrier even blacksi refuse use word african american oppressed local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stats result large black community68 black really need stop listening democrat preach win deck stacked oppressive lifestyle theyll never rise current condition cling liberal excuse color skin overall presentation,0
someone say way black people behave wonder ferguson shitty place black people u fucking lazy saying countless example life 1 grandmother got black house nurse bitch nothing day grandmother complained agency sent different woman wasnt black cleaned entire house 4 hour 2 mom work hospital nurse black co worker constantly nothing lazy black people like one best friend black like like brother fuck expect get everything want ancestor slave well hitler killed ancestor see sagging pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill required hold position household income tie previous point lazylacking skill lower income job dropout rate school need taken black people ferguson hold high paying job didnt even graduate fucking high school 80 worse healthcare tied low income money better doctor inequality enforcement give one completely unfair however looking black officer frisk mostly black people well hmmmm interesting maybe,1
might wrong majority black community dont vote wouldnt make sense inequality city government,0
something wrong voice,0
people fuck america american fucking hate,1
bill cosby caused,0
